OBJECTID,PlotID,Date,Type,y,x,RASTERVALU
54,21,7/1/2014 0:00:00,Forage,46.707349999999998,-114.050830000000000,2
55,22,7/21/2015 0:00:00,Biomass,46.752369999999999,-113.884030000000000,3
56,22,7/1/2014 0:00:00,Pellet,46.824100000000001,-113.901929999999990,3
57,22,7/1/2014 0:00:00,Forage,46.824100000000001,-113.901929999999990,3
58,23,7/1/2014 0:00:00,Pellet,46.474719999999998,-113.904090000000000,3
59,23,7/1/2014 0:00:00,Forage,46.474719999999998,-113.904090000000000,3
60,24,7/21/2015 0:00:00,Biomass,46.748040000000003,-113.884820000000000,3
61,24,7/14/2014 0:00:00,Pellet,46.678750000000001,-113.830290000000010,3
62,24,7/14/2014 0:00:00,Forage,46.678750000000001,-113.830290000000010,3
63,25,8/28/2014 0:00:00,Biomass,46.755710000000001,-113.840530000000000,3
64,25,7/14/2014 0:00:00,Pellet,46.821449999999999,-113.900240000000000,3
65,25,7/14/2014 0:00:00,Forage,46.822170000000000,-113.900600000000000,3
66,26,8/28/2014 0:00:00,Biomass,46.755920000000003,-113.841680000000000,3
67,26,7/15/2014 0:00:00,Pellet,46.539700000000003,-113.941300000000000,6
68,26,7/15/2014 0:00:00,Forage,46.540840000000003,-113.945089999999990,6
69,27,8/28/2014 0:00:00,Biomass,46.754809999999999,-113.842540000000000,3
70,27,7/15/2014 0:00:00,Pellet,46.742080000000001,-113.979330000000000,4
71,27,7/15/2014 0:00:00,Forage,46.745559999999998,-113.983650000000000,3
72,28,8/28/2014 0:00:00,Biomass,46.752670000000002,-113.847510000000000,3
73,28,7/30/2014 0:00:00,Pellet,46.708370000000002,-114.038070000000000,6
74,28,7/30/2014 0:00:00,Forage,46.708370000000002,-114.038070000000000,6
75,29,8/28/2014 0:00:00,Biomass,46.755070000000003,-113.843680000000010,3
76,29,7/30/2014 0:00:00,Pellet,46.691719999999997,-114.106120000000000,3
77,29,7/30/2014 0:00:00,Forage,46.691719999999997,-114.106120000000000,3
78,30,7/31/2014 0:00:00,Pellet,46.668030000000002,-113.959370000000010,2
79,30,7/31/2014 0:00:00,Forage,46.668030000000002,-113.959370000000010,2
80,31,7/31/2014 0:00:00,Pellet,46.712690000000002,-113.945809999999990,3
81,31,7/31/2014 0:00:00,Forage,0.000000000000000,0.000000000000000,0
82,32,8/14/2014 0:00:00,Pellet,46.685899999999997,-114.036379999999990,7
83,32,8/14/2014 0:00:00,Forage,46.685899999999997,-114.036379999999990,7
84,33,8/14/2014 0:00:00,Pellet,46.729540000000000,-114.102050000000010,3
85,33,8/14/2014 0:00:00,Forage,46.729540000000000,-114.102050000000010,3
86,34,8/14/2014 0:00:00,Pellet,46.787489999999998,-113.845830000000010,3
87,34,8/14/2014 0:00:00,Forage,46.787489999999998,-113.845830000000010,3
