"PlotVisit","GDM"
"74.2014-07-16",52.576
"75.2014-07-18",80.293
"789.2014-08-21",256.734
"790.2014-08-21",129.863
"791.2014-08-21",128.91
"793.2014-08-21",277.245
"794.2014-07-31",114.029
"795.2014-07-31",190.836
"796.2014-07-31",56.528
"797.2014-07-30",118.089
"798.2014-07-30",17.262
"799.2014-07-25",37
"8.2014-08-29",781.71
"800.2014-07-25",133.368
"802.2014-07-25",32.73
"824.2015-08-12",32.002
"825.2015-08-12",291.808
"826.2015-08-12",20.718
"827.2015-08-12",89.832
"828.2015-08-12",170.777
"844.2014-07-24",10.837
"845.2014-07-24",265.5
"846.2014-07-24",18.968
"847.2014-07-24",34.482
"848.2014-07-24",174.695
"864.2014-08-07",171.386
"865.2014-08-07",137.412
"866.2014-08-07",14.553
"868.2014-08-07",364.345
"869.2014-08-06",45.896
"871.2014-08-06",17.693
"872.2014-08-06",25.73
"873.2014-08-06",36.739
"874.2014-08-05",21.918
"875.2014-08-05",151.277
"876.2014-08-05",26.629
"877.2014-08-05",8.084
"878.2014-08-05",4.131
"880.2015-08-10",359.424
"881.2015-08-10",38.909
"882.2015-08-10",44.888
"883.2015-08-10",87.469
"884.2015-08-14",135.37
"885.2015-08-13",40.19
"886.2015-08-14",81.457
"887.2015-08-14",158.564
"888.2015-08-13",151.287
"889.2014-08-14",92.11
"891.2014-08-14",180.34
"892.2014-08-14",174.277
"894.2014-08-15",98.263
"896.2014-08-15",103.687
"898.2014-08-15",62.344
"907.2015-08-13",146.622
"908.2015-08-13",1.008
"909.2015-08-13",49.449
"91.2015-07-20",174.57
"911.2015-08-13",91.723
"912.2014-08-04",45.684
"913.2014-08-04",15.508
"914.2014-08-04",189.729
"916.2014-08-04",49.868
"917.2015-08-10",46.921
"918.2015-08-10",79.167
"919.2015-08-10",60.894
"92.2015-07-20",176.044
"920.2015-08-10",75.705
"93.2015-07-20",14.756
"933.2014-07-16",1.698
"934.2014-07-16",8.858
"935.2014-07-16",3.211
"94.2015-07-20",105.724
"95.2015-07-20",206.353
"950.2014-08-01",0.885
"951.2014-08-20",12.088
"952.2014-08-18",0.721
"953.2014-08-08",9.412
"954.2014-08-07",1.728
"955.2014-08-18",0.974
"956.2014-08-08",22.576
"957.2014-08-08",20.912
"958.2014-08-20",11.999
"959.2014-08-22",178.623
"960.2014-08-22",286.136
"961.2014-08-20",61.867
